Donor,Year,Purpose,"Commitments, Million, constant 2009 US$"
Canada,2001,MDG6,57.835522421
Canada,2001,Other Health Purposes,44.352470625
Canada,2001,RH & FP,0.447326136
Canada,2002,HEALTH POLICY & ADMIN. MANAGEMENT,23.740414002
Canada,2002,MDG6,102.829606207
Canada,2002,Other Health Purposes,56.544968826
Canada,2002,RH & FP,12.329473745
Canada,2003,HEALTH POLICY & ADMIN. MANAGEMENT,33.767166168
Canada,2003,MDG6,188.424354840
Canada,2003,Other Health Purposes,61.198826769
Canada,2003,RH & FP,20.685741782
Canada,2004,HEALTH POLICY & ADMIN. MANAGEMENT,48.358601646
Canada,2004,MDG6,188.757816153
Canada,2004,Other Health Purposes,43.767777411
Canada,2004,RH & FP,35.584928928
Canada,2005,HEALTH POLICY & ADMIN. MANAGEMENT,18.122355203
Canada,2005,MDG6,237.672623114
Canada,2005,Other Health Purposes,79.648002368
Canada,2005,RH & FP,23.480425696
Canada,2006,HEALTH POLICY & ADMIN. MANAGEMENT,46.781257673
Canada,2006,MDG6,129.522271517
Canada,2006,Other Health Purposes,94.297433751
Canada,2006,RH & FP,3.005281631
Canada,2007,HEALTH POLICY & ADMIN. MANAGEMENT,46.966070100
Canada,2007,MDG6,229.237958632
Canada,2007,Other Health Purposes,299.129665037
Canada,2007,RH & FP,25.151223724
Canada,2008,HEALTH POLICY & ADMIN. MANAGEMENT,56.157913446
Canada,2008,MDG6,185.370317578
Canada,2008,Other Health Purposes,149.642608498
Canada,2008,RH & FP,2.962540412
Canada,2009,HEALTH POLICY & ADMIN. MANAGEMENT,33.134417178
Canada,2009,MDG6,268.570131464
Canada,2009,Other Health Purposes,361.007607362
Canada,2009,RH & FP,6.721603856
Canada,2010,HEALTH POLICY & ADMIN. MANAGEMENT,16.413492897
Canada,2010,MDG6,125.179165393
Canada,2010,Other Health Purposes,379.165677431
Canada,2010,RH & FP,1.857120106
Denmark,2000,HEALTH POLICY & ADMIN. MANAGEMENT,14.732011273
Denmark,2000,MDG6,3.082328484
Denmark,2000,Other Health Purposes,29.030641158
Denmark,2000,RH & FP,2.034573272
Denmark,2001,HEALTH POLICY & ADMIN. MANAGEMENT,33.064496996
Denmark,2001,MDG6,3.669454865
Denmark,2001,Other Health Purposes,20.642199889
Denmark,2001,RH & FP,3.727355095
Denmark,2002,HEALTH POLICY & ADMIN. MANAGEMENT,70.306624343
Denmark,2002,MDG6,27.811129009
Denmark,2002,Other Health Purposes,11.463555122
Denmark,2002,RH & FP,2.583501291
Denmark,2003,HEALTH POLICY & ADMIN. MANAGEMENT,3.925349364
Denmark,2003,MDG6,27.314244879
Denmark,2003,Other Health Purposes,85.429682210
Denmark,2003,RH & FP,3.332280275
Denmark,2004,HEALTH POLICY & ADMIN. MANAGEMENT,8.246638256
Denmark,2004,MDG6,18.260648095
Denmark,2004,Other Health Purposes,154.131756753
Denmark,2004,RH & FP,0.177924106
Denmark,2005,HEALTH POLICY & ADMIN. MANAGEMENT,36.145245026
Denmark,2005,MDG6,14.778898206
Denmark,2005,Other Health Purposes,75.806525044
Denmark,2005,RH & FP,1.949322224
Denmark,2006,HEALTH POLICY & ADMIN. MANAGEMENT,72.763499344
Denmark,2006,MDG6,35.180312445
Denmark,2006,Other Health Purposes,50.911014123
Denmark,2006,RH & FP,
Denmark,2007,HEALTH POLICY & ADMIN. MANAGEMENT,73.293420734
Denmark,2007,MDG6,64.185663990
Denmark,2007,Other Health Purposes,8.839515127
Denmark,2007,RH & FP,1.393960974
Denmark,2008,HEALTH POLICY & ADMIN. MANAGEMENT,0.794464706
Denmark,2008,MDG6,24.046599976
Denmark,2008,Other Health Purposes,17.558064511
Denmark,2008,RH & FP,1.140317041
Denmark,2009,HEALTH POLICY & ADMIN. MANAGEMENT,10.512671841
Denmark,2009,MDG6,59.448237165
Denmark,2009,Other Health Purposes,130.814551576
Denmark,2009,RH & FP,1.593565884
Denmark,2010,HEALTH POLICY & ADMIN. MANAGEMENT,10.106309805
Denmark,2010,MDG6,12.498905187
Denmark,2010,Other Health Purposes,18.010219339
Denmark,2010,RH & FP,33.012052947
EU Institutions,2000,HEALTH POLICY & ADMIN. MANAGEMENT,257.945374930
EU Institutions,2000,MDG6,67.784925574
EU Institutions,2000,Other Health Purposes,192.239667876
EU Institutions,2000,RH & FP,111.415936498
EU Institutions,2001,HEALTH POLICY & ADMIN. MANAGEMENT,72.217214564
EU Institutions,2001,MDG6,188.270017154
EU Institutions,2001,Other Health Purposes,267.316022867
EU Institutions,2001,RH & FP,4.886084498
EU Institutions,2002,HEALTH POLICY & ADMIN. MANAGEMENT,68.120439058
EU Institutions,2002,MDG6,63.295685232
EU Institutions,2002,Other Health Purposes,136.439990037
EU Institutions,2002,RH & FP,90.745470327
EU Institutions,2003,HEALTH POLICY & ADMIN. MANAGEMENT,89.147653254
EU Institutions,2003,MDG6,98.717632938
EU Institutions,2003,Other Health Purposes,108.355544232
EU Institutions,2003,RH & FP,25.170226473
EU Institutions,2004,HEALTH POLICY & ADMIN. MANAGEMENT,230.194043471
EU Institutions,2004,MDG6,189.101385350
EU Institutions,2004,Other Health Purposes,193.192132424
EU Institutions,2004,RH & FP,29.850719343
EU Institutions,2005,HEALTH POLICY & ADMIN. MANAGEMENT,64.399892921
EU Institutions,2005,MDG6,171.013153101
EU Institutions,2005,Other Health Purposes,526.971890994
EU Institutions,2005,RH & FP,43.745949713
EU Institutions,2006,HEALTH POLICY & ADMIN. MANAGEMENT,171.844596144
EU Institutions,2006,MDG6,264.033155412
EU Institutions,2006,Other Health Purposes,194.228400637
EU Institutions,2006,RH & FP,48.607391769
EU Institutions,2007,HEALTH POLICY & ADMIN. MANAGEMENT,178.653645296
EU Institutions,2007,MDG6,175.953240732
EU Institutions,2007,Other Health Purposes,226.491977208
EU Institutions,2007,RH & FP,0.000000000
EU Institutions,2008,HEALTH POLICY & ADMIN. MANAGEMENT,236.709138523
EU Institutions,2008,MDG6,52.023560649
EU Institutions,2008,Other Health Purposes,264.125023459
EU Institutions,2008,RH & FP,26.011780325
EU Institutions,2009,HEALTH POLICY & ADMIN. MANAGEMENT,339.702534591
EU Institutions,2009,MDG6,2.785127420
EU Institutions,2009,Other Health Purposes,257.150756162
EU Institutions,2009,RH & FP,38.295502019
EU Institutions,2010,HEALTH POLICY & ADMIN. MANAGEMENT,193.968380289
EU Institutions,2010,MDG6,95.335225332
EU Institutions,2010,Other Health Purposes,515.604677002
EU Institutions,2010,RH & FP,34.541748309
Finland,2000,HEALTH POLICY & ADMIN. MANAGEMENT,2.341627340
Finland,2000,MDG6,0.672893472
Finland,2000,Other Health Purposes,16.551816313
Finland,2000,RH & FP,
Finland,2001,HEALTH POLICY & ADMIN. MANAGEMENT,12.755652076
Finland,2001,MDG6,3.302033135
Finland,2001,Other Health Purposes,17.882111720
Finland,2001,RH & FP,6.226361403
Finland,2002,HEALTH POLICY & ADMIN. MANAGEMENT,24.394814395
Finland,2002,MDG6,1.248106783
Finland,2002,Other Health Purposes,29.340960056
Finland,2002,RH & FP,3.236717112
Finland,2003,HEALTH POLICY & ADMIN. MANAGEMENT,5.794449092
Finland,2003,MDG6,5.257672221
Finland,2003,Other Health Purposes,34.496769009
Finland,2003,RH & FP,2.636623767
Finland,2004,HEALTH POLICY & ADMIN. MANAGEMENT,8.341242543
Finland,2004,MDG6,5.760970167
Finland,2004,Other Health Purposes,10.644170090
Finland,2004,RH & FP,4.026844360
Finland,2005,HEALTH POLICY & ADMIN. MANAGEMENT,16.965702525
Finland,2005,MDG6,5.650017691
Finland,2005,Other Health Purposes,9.694097936
Finland,2005,RH & FP,5.194069219
Finland,2006,HEALTH POLICY & ADMIN. MANAGEMENT,34.541370456
Finland,2006,MDG6,6.522305243
Finland,2006,Other Health Purposes,19.471289057
Finland,2006,RH & FP,5.415500345
Finland,2007,HEALTH POLICY & ADMIN. MANAGEMENT,1.546619906
Finland,2007,MDG6,1.204166168
Finland,2007,Other Health Purposes,22.878648917
Finland,2007,RH & FP,8.916702952
Finland,2008,HEALTH POLICY & ADMIN. MANAGEMENT,24.985826702
Finland,2008,MDG6,2.195207398
Finland,2008,Other Health Purposes,9.991424646
Finland,2008,RH & FP,11.226255697
Finland,2009,HEALTH POLICY & ADMIN. MANAGEMENT,17.088149283
Finland,2009,MDG6,3.932693357
Finland,2009,Other Health Purposes,24.596142557
Finland,2009,RH & FP,3.999628185
Finland,2010,HEALTH POLICY & ADMIN. MANAGEMENT,26.517094743
Finland,2010,MDG6,2.790472172
Finland,2010,Other Health Purposes,15.040569622
Finland,2010,RH & FP,1.805013533
France,2000,HEALTH POLICY & ADMIN. MANAGEMENT,42.953477159
France,2000,MDG6,35.910270104
France,2000,Other Health Purposes,44.003193909
France,2000,RH & FP,1.887818095
France,2001,HEALTH POLICY & ADMIN. MANAGEMENT,208.002726037
France,2001,MDG6,25.586312078
France,2001,Other Health Purposes,25.149718952
France,2001,RH & FP,0.939978484
France,2002,HEALTH POLICY & ADMIN. MANAGEMENT,197.711286000
France,2002,MDG6,24.047688710
France,2002,Other Health Purposes,35.354424029
France,2002,RH & FP,0.774898053
France,2003,HEALTH POLICY & ADMIN. MANAGEMENT,228.139415679
France,2003,MDG6,14.081907772
France,2003,Other Health Purposes,23.181535317
France,2003,RH & FP,0.465321508
France,2004,HEALTH POLICY & ADMIN. MANAGEMENT,107.568740758
France,2004,MDG6,29.651990850
France,2004,Other Health Purposes,232.330680244
France,2004,RH & FP,0.530965619
France,2005,HEALTH POLICY & ADMIN. MANAGEMENT,2.975602721
France,2005,MDG6,3.767570060
France,2005,Other Health Purposes,228.163349667
France,2006,HEALTH POLICY & ADMIN. MANAGEMENT,34.644326120
France,2006,MDG6,19.238344564
France,2006,Other Health Purposes,318.440977370
France,2007,HEALTH POLICY & ADMIN. MANAGEMENT,30.703138324
France,2007,MDG6,28.466136894
France,2007,Other Health Purposes,99.092347386
France,2007,RH & FP,
France,2008,HEALTH POLICY & ADMIN. MANAGEMENT,46.773517613
France,2008,MDG6,26.924966881
France,2008,Other Health Purposes,303.365301110
France,2009,HEALTH POLICY & ADMIN. MANAGEMENT,64.458125734
France,2009,MDG6,54.530559925
France,2009,Other Health Purposes,218.908999754
France,2010,HEALTH POLICY & ADMIN. MANAGEMENT,75.539316985
France,2010,MDG6,56.008058185
France,2010,Other Health Purposes,355.902590729
France,2010,RH & FP,4.659971090
GAVI,2007,HEALTH POLICY & ADMIN. MANAGEMENT,37.516119660
GAVI,2007,MDG6,471.609202215
GAVI,2007,Other Health Purposes,428.486910977
GAVI,2008,HEALTH POLICY & ADMIN. MANAGEMENT,11.867703069
GAVI,2008,MDG6,67.289893889
GAVI,2008,Other Health Purposes,606.674000239
GAVI,2009,HEALTH POLICY & ADMIN. MANAGEMENT,-6.396630000
GAVI,2009,MDG6,83.970530000
GAVI,2009,Other Health Purposes,367.302140000
GAVI,2010,HEALTH POLICY & ADMIN. MANAGEMENT,13.716163560
GAVI,2010,MDG6,100.288424324
GAVI,2010,Other Health Purposes,590.225331751
GEF,2008,HEALTH POLICY & ADMIN. MANAGEMENT,
GEF,2008,Other Health Purposes,
Germany,2000,HEALTH POLICY & ADMIN. MANAGEMENT,14.395680829
Germany,2000,MDG6,26.911943415
Germany,2000,Other Health Purposes,49.207161569
Germany,2000,RH & FP,80.685988326
Germany,2001,HEALTH POLICY & ADMIN. MANAGEMENT,17.111638429
Germany,2001,MDG6,72.658666841
Germany,2001,Other Health Purposes,75.293774806
Germany,2001,RH & FP,42.854505539
Germany,2002,HEALTH POLICY & ADMIN. MANAGEMENT,11.442461610
Germany,2002,MDG6,56.293560956
Germany,2002,Other Health Purposes,156.870216177
Germany,2002,RH & FP,47.981273560
Germany,2003,HEALTH POLICY & ADMIN. MANAGEMENT,44.214094907
Germany,2003,MDG6,82.105826388
Germany,2003,Other Health Purposes,116.311630052
Germany,2003,RH & FP,38.396408730
Germany,2004,HEALTH POLICY & ADMIN. MANAGEMENT,20.290576452
Germany,2004,MDG6,153.018670548
Germany,2004,Other Health Purposes,73.932641856
Germany,2004,RH & FP,25.696607628
Germany,2005,HEALTH POLICY & ADMIN. MANAGEMENT,23.029681230
Germany,2005,MDG6,76.637965812
Germany,2005,Other Health Purposes,104.440655118
Germany,2005,RH & FP,30.658236347
Germany,2006,HEALTH POLICY & ADMIN. MANAGEMENT,66.518845775
Germany,2006,MDG6,203.412260565
Germany,2006,Other Health Purposes,154.610236620
Germany,2006,RH & FP,124.121260683
Germany,2007,HEALTH POLICY & ADMIN. MANAGEMENT,57.978624794
Germany,2007,MDG6,229.834762085
Germany,2007,Other Health Purposes,97.094796157
Germany,2007,RH & FP,11.059744123
Germany,2008,HEALTH POLICY & ADMIN. MANAGEMENT,69.625058424
Germany,2008,MDG6,152.338436061
Germany,2008,Other Health Purposes,185.929252848
Germany,2008,RH & FP,61.840055904
Germany,2009,HEALTH POLICY & ADMIN. MANAGEMENT,104.213701790
Germany,2009,MDG6,241.822991330
Germany,2009,Other Health Purposes,122.609569120
Germany,2009,RH & FP,49.609846520
Germany,2010,HEALTH POLICY & ADMIN. MANAGEMENT,85.466655591
Germany,2010,MDG6,105.467460400
Germany,2010,Other Health Purposes,127.281057922
Germany,2010,RH & FP,54.430707101
Global Fund,2003,MDG6,1263.868327313
Global Fund,2004,MDG6,953.164384525
Global Fund,2004,Other Health Purposes,3.636400104
Global Fund,2005,MDG6,1630.131234695
Global Fund,2005,Other Health Purposes,16.240526892
Global Fund,2006,MDG6,1926.308277208
Global Fund,2006,Other Health Purposes,27.733634370
Global Fund,2007,MDG6,2567.222920979
Global Fund,2007,Other Health Purposes,0.000000000
Global Fund,2008,MDG6,2152.511249629
Global Fund,2008,Other Health Purposes,19.083987358
Global Fund,2009,MDG6,4085.273090000
Global Fund,2009,Other Health Purposes,82.247290000
Global Fund,2010,MDG6,3057.833602882
Global Fund,2010,Other Health Purposes,40.281519092
Greece,2002,HEALTH POLICY & ADMIN. MANAGEMENT,0.350929025
Greece,2002,MDG6,0.318017699
Greece,2002,Other Health Purposes,5.592174013
Greece,2002,RH & FP,0.246378533
Greece,2003,HEALTH POLICY & ADMIN. MANAGEMENT,0.738839187
Greece,2003,MDG6,9.284594894
Greece,2003,Other Health Purposes,7.208752865
Greece,2003,RH & FP,0.049254851
Greece,2004,HEALTH POLICY & ADMIN. MANAGEMENT,0.239107705
Greece,2004,MDG6,10.148209235
Greece,2004,Other Health Purposes,18.163755266
Greece,2005,HEALTH POLICY & ADMIN. MANAGEMENT,0.317258050
Greece,2005,MDG6,0.614266300
Greece,2005,Other Health Purposes,34.050717089
Greece,2006,HEALTH POLICY & ADMIN. MANAGEMENT,0.075198058
Greece,2006,MDG6,9.622539041
Greece,2006,Other Health Purposes,28.427031702
Greece,2007,HEALTH POLICY & ADMIN. MANAGEMENT,0.043810481
Greece,2007,MDG6,6.466485348
Greece,2007,Other Health Purposes,29.749458647
Greece,2008,MDG6,6.038981213
Greece,2008,Other Health Purposes,7.237436193
Greece,2009,HEALTH POLICY & ADMIN. MANAGEMENT,1.183233533
Greece,2009,MDG6,8.924467344
Greece,2009,Other Health Purposes,11.342278234
Greece,2010,HEALTH POLICY & ADMIN. MANAGEMENT,2.524198751
Greece,2010,Other Health Purposes,3.784828766
IDA,2000,HEALTH POLICY & ADMIN. MANAGEMENT,629.507961353
IDA,2000,MDG6,356.645624838
IDA,2000,Other Health Purposes,67.377397876
IDA,2000,RH & FP,158.866471811
IDA,2001,HEALTH POLICY & ADMIN. MANAGEMENT,452.760626038
IDA,2001,MDG6,310.385360826
IDA,2001,Other Health Purposes,1.513063213
IDA,2001,RH & FP,47.564314201
IDA,2002,HEALTH POLICY & ADMIN. MANAGEMENT,512.982852188
IDA,2002,MDG6,186.869850314
IDA,2002,Other Health Purposes,210.786189205
IDA,2002,RH & FP,156.479428593
IDA,2003,HEALTH POLICY & ADMIN. MANAGEMENT,606.688378172
IDA,2003,MDG6,417.066154452
IDA,2003,Other Health Purposes,91.101542923
IDA,2003,RH & FP,56.614659901
IDA,2004,HEALTH POLICY & ADMIN. MANAGEMENT,475.180971683
IDA,2004,MDG6,254.524028870
IDA,2004,Other Health Purposes,184.113783647
IDA,2004,RH & FP,106.590606994
IDA,2005,HEALTH POLICY & ADMIN. MANAGEMENT,339.447360744
IDA,2005,MDG6,278.393096580
IDA,2005,Other Health Purposes,230.847404716
IDA,2005,RH & FP,109.874914259
IDA,2006,HEALTH POLICY & ADMIN. MANAGEMENT,624.714821512
IDA,2006,MDG6,617.258714184
IDA,2006,Other Health Purposes,89.647191280
IDA,2006,RH & FP,172.614176908
IDA,2007,HEALTH POLICY & ADMIN. MANAGEMENT,269.301053593
IDA,2007,MDG6,543.517980143
IDA,2007,Other Health Purposes,108.679047350
IDA,2007,RH & FP,1.861608152
IDA,2008,HEALTH POLICY & ADMIN. MANAGEMENT,322.003584429
IDA,2008,MDG6,313.124986117
IDA,2008,Other Health Purposes,660.815136437
IDA,2008,RH & FP,50.476421559
IDA,2009,HEALTH POLICY & ADMIN. MANAGEMENT,241.682000488
IDA,2009,MDG6,490.128000000
IDA,2009,Other Health Purposes,37.700000000
IDA,2009,RH & FP,0.770000000
IDA,2010,HEALTH POLICY & ADMIN. MANAGEMENT,237.132017446
IDA,2010,MDG6,249.027423620
IDA,2010,Other Health Purposes,459.196930947
IDA,2010,RH & FP,99.614169563
IDB Sp.Fund,2001,HEALTH POLICY & ADMIN. MANAGEMENT,4.539189638
IDB Sp.Fund,2003,HEALTH POLICY & ADMIN. MANAGEMENT,6.363350441
IDB Sp.Fund,2005,HEALTH POLICY & ADMIN. MANAGEMENT,26.079418337
IDB Sp.Fund,2005,Other Health Purposes,18.822536713
IDB Sp.Fund,2005,RH & FP,34.016632614
IDB Sp.Fund,2007,HEALTH POLICY & ADMIN. MANAGEMENT,10.228616221
IDB Sp.Fund,2009,HEALTH POLICY & ADMIN. MANAGEMENT,3.920000000
IDB Sp.Fund,2009,MDG6,3.000000000
IDB Sp.Fund,2009,Other Health Purposes,6.500000000
IDB Sp.Fund,2009,RH & FP,0.000000000
