Donor,Year,incomegroupname,"Disbursements, Million, constant 2010 US$"
Arab Fund (AFESD),2010,LDCs,0.14
Arab Fund (AFESD),2010,LMICs,0.00
Arab Fund (AFESD),2010,Part I unallocated by income,0.19
Arab Fund (AFESD),2010,UMICs,0.98
Arab Fund (AFESD),2011,LDCs,0.20
Arab Fund (AFESD),2011,LMICs,0.00
Arab Fund (AFESD),2011,Part I unallocated by income,0.61
Arab Fund (AFESD),2011,UMICs,1.30
AsDB Special Funds,2001,LMICs,0.00
AsDB Special Funds,2003,LDCs,0.00
AsDB Special Funds,2003,LMICs,0.00
AsDB Special Funds,2004,LMICs,0.00
AsDB Special Funds,2004,Other LICs,0.00
AsDB Special Funds,2005,LMICs,0.00
AsDB Special Funds,2005,Other LICs,0.00
AsDB Special Funds,2007,LMICs,0.00
AsDB Special Funds,2008,LMICs,0.00
AsDB Special Funds,2010,LDCs,17.32
AsDB Special Funds,2010,LMICs,205.33
AsDB Special Funds,2010,Other LICs,0.00
AsDB Special Funds,2010,Part I unallocated by income,1.59
AsDB Special Funds,2011,LDCs,9.85
AsDB Special Funds,2011,LMICs,60.43
AsDB Special Funds,2011,Other LICs,5.50
AsDB Special Funds,2011,Part I unallocated by income,4.78
Australia,2001,LDCs,34.18
Australia,2001,LMICs,133.03
Australia,2001,Other LICs,0.15
Australia,2001,Part I unallocated by income,11.63
Australia,2001,UMICs,10.30
Australia,2002,LDCs,30.67
Australia,2002,LMICs,139.84
Australia,2002,Other LICs,0.90
Australia,2002,Part I unallocated by income,7.04
Australia,2002,UMICs,8.28
Australia,2003,LDCs,35.50
Australia,2003,LMICs,126.76
Australia,2003,Other LICs,0.00
Australia,2003,Part I unallocated by income,9.90
Australia,2003,UMICs,10.91
Australia,2004,LDCs,29.97
Australia,2004,LMICs,114.29
Australia,2004,Other LICs,0.70
Australia,2004,Part I unallocated by income,12.99
Australia,2004,UMICs,13.37
Australia,2005,LDCs,32.50
Australia,2005,LMICs,104.95
Australia,2005,Other LICs,0.56
Australia,2005,Part I unallocated by income,24.29
Australia,2005,UMICs,15.90
Australia,2006,LDCs,29.29
Australia,2006,LMICs,133.16
Australia,2006,Other LICs,0.04
Australia,2006,Part I unallocated by income,64.31
Australia,2006,UMICs,27.10
Australia,2007,LDCs,37.57
Australia,2007,LMICs,112.05
Australia,2007,Other LICs,0.00
Australia,2007,Part I unallocated by income,45.28
Australia,2007,UMICs,26.61
Australia,2008,LDCs,53.49
Australia,2008,LMICs,98.93
Australia,2008,Other LICs,0.29
Australia,2008,Part I unallocated by income,73.18
Australia,2008,UMICs,15.41
Australia,2009,LDCs,72.10
Australia,2009,LMICs,112.52
Australia,2009,Other LICs,10.85
Australia,2009,Part I unallocated by income,66.91
Australia,2009,UMICs,16.97
Australia,2010,LDCs,97.89
Australia,2010,LMICs,147.42
Australia,2010,Other LICs,0.06
Australia,2010,Part I unallocated by income,75.78
Australia,2010,UMICs,12.11
Australia,2011,LDCs,116.15
Australia,2011,LMICs,188.23
Australia,2011,Other LICs,0.61
Australia,2011,Part I unallocated by income,79.43
Australia,2011,UMICs,14.45
Austria,2001,LDCs,5.01
Austria,2001,LMICs,21.84
Austria,2001,Other LICs,0.13
Austria,2001,Part I unallocated by income,0.12
Austria,2001,UMICs,24.42
Austria,2002,LDCs,4.16
Austria,2002,LMICs,1.87
Austria,2002,Other LICs,0.26
Austria,2002,Part I unallocated by income,1.61
Austria,2002,UMICs,0.59
Austria,2003,LDCs,4.27
Austria,2003,LMICs,3.05
Austria,2003,Other LICs,0.33
Austria,2003,Part I unallocated by income,0.03
Austria,2003,UMICs,0.55
Austria,2004,LDCs,4.20
Austria,2004,LMICs,4.17
Austria,2004,Other LICs,0.25
Austria,2004,Part I unallocated by income,0.31
Austria,2004,UMICs,0.45
Austria,2005,LDCs,3.71
Austria,2005,LMICs,4.10
Austria,2005,Other LICs,0.15
Austria,2005,Part I unallocated by income,1.02
Austria,2005,UMICs,0.31
Austria,2006,LDCs,5.78
Austria,2006,LMICs,7.23
Austria,2006,Other LICs,0.35
Austria,2006,Part I unallocated by income,1.54
Austria,2006,UMICs,0.78
Austria,2007,LDCs,5.25
Austria,2007,LMICs,5.52
Austria,2007,Other LICs,0.74
Austria,2007,Part I unallocated by income,1.57
Austria,2007,UMICs,1.04
Austria,2008,LDCs,3.58
Austria,2008,LMICs,5.52
Austria,2008,Other LICs,0.36
Austria,2008,Part I unallocated by income,1.76
Austria,2008,UMICs,2.00
Austria,2009,LDCs,2.60
Austria,2009,LMICs,5.14
Austria,2009,Other LICs,0.27
Austria,2009,Part I unallocated by income,2.17
Austria,2009,UMICs,1.22
Austria,2010,LDCs,1.58
Austria,2010,LMICs,4.35
Austria,2010,Other LICs,0.25
Austria,2010,Part I unallocated by income,1.13
Austria,2010,UMICs,2.54
Austria,2011,LDCs,3.59
Austria,2011,LMICs,7.57
Austria,2011,Other LICs,0.24
Austria,2011,Part I unallocated by income,0.48
Austria,2011,UMICs,2.13
BADEA,2011,LDCs,4.55
BADEA,2011,LMICs,0.70
BADEA,2011,Other LICs,0.00
BADEA,2011,Part I unallocated by income,0.26
BADEA,2011,UMICs,0.00
Belgium,2001,LDCs,49.06
Belgium,2001,LMICs,19.58
Belgium,2001,Other LICs,6.99
Belgium,2001,Part I unallocated by income,37.61
Belgium,2001,UMICs,7.96
Belgium,2002,LDCs,52.55
Belgium,2002,LMICs,10.00
Belgium,2002,Other LICs,4.15
Belgium,2002,Part I unallocated by income,43.19
Belgium,2002,UMICs,7.49
Belgium,2003,LDCs,50.61
Belgium,2003,LMICs,5.88
Belgium,2003,Other LICs,2.35
Belgium,2003,Part I unallocated by income,48.54
Belgium,2003,UMICs,7.94
Belgium,2004,LDCs,45.98
Belgium,2004,LMICs,8.22
Belgium,2004,Other LICs,2.61
Belgium,2004,Part I unallocated by income,32.66
Belgium,2004,UMICs,7.79
Belgium,2005,LDCs,63.44
Belgium,2005,LMICs,7.74
Belgium,2005,Other LICs,1.58
Belgium,2005,Part I unallocated by income,24.01
Belgium,2005,UMICs,14.11
Belgium,2006,LDCs,75.04
Belgium,2006,LMICs,11.49
Belgium,2006,Other LICs,0.97
Belgium,2006,Part I unallocated by income,28.33
Belgium,2006,UMICs,18.02
Belgium,2007,LDCs,85.98
Belgium,2007,LMICs,17.78
Belgium,2007,Other LICs,0.96
Belgium,2007,Part I unallocated by income,32.70
Belgium,2007,UMICs,11.71
Belgium,2008,LDCs,80.56
Belgium,2008,LMICs,14.82
Belgium,2008,Other LICs,0.67
Belgium,2008,Part I unallocated by income,28.32
Belgium,2008,UMICs,16.34
Belgium,2009,LDCs,92.73
Belgium,2009,LMICs,12.56
Belgium,2009,Other LICs,1.60
Belgium,2009,Part I unallocated by income,31.63
Belgium,2009,UMICs,13.06
Belgium,2010,LDCs,106.04
Belgium,2010,LMICs,19.03
Belgium,2010,Other LICs,1.64
Belgium,2010,Part I unallocated by income,26.36
Belgium,2010,UMICs,9.30
Belgium,2011,LDCs,94.54
Belgium,2011,LMICs,19.19
Belgium,2011,Other LICs,1.41
Belgium,2011,Part I unallocated by income,31.96
Belgium,2011,UMICs,10.86
Canada,2001,LDCs,20.13
Canada,2001,LMICs,20.81
Canada,2001,Other LICs,1.00
Canada,2001,Part I unallocated by income,24.59
Canada,2001,UMICs,10.00
Canada,2002,LDCs,22.30
Canada,2002,LMICs,61.01
Canada,2002,Other LICs,1.11
Canada,2002,Part I unallocated by income,28.46
Canada,2002,UMICs,11.53
Canada,2003,LDCs,46.35
Canada,2003,LMICs,47.07
Canada,2003,Other LICs,4.70
Canada,2003,Part I unallocated by income,53.05
Canada,2003,UMICs,15.75
Canada,2004,LDCs,66.73
Canada,2004,LMICs,38.83
Canada,2004,Other LICs,4.66
Canada,2004,Part I unallocated by income,122.42
Canada,2004,UMICs,15.87
Canada,2005,LDCs,74.92
Canada,2005,LMICs,40.41
Canada,2005,Other LICs,3.42
Canada,2005,Part I unallocated by income,257.98
Canada,2005,UMICs,11.41
Canada,2006,LDCs,114.97
Canada,2006,LMICs,45.24
Canada,2006,Other LICs,3.74
Canada,2006,Part I unallocated by income,76.03
Canada,2006,UMICs,14.58
Canada,2007,LDCs,157.60
Canada,2007,LMICs,54.80
Canada,2007,Other LICs,7.34
Canada,2007,Part I unallocated by income,219.59
Canada,2007,UMICs,13.26
Canada,2008,LDCs,178.06
Canada,2008,LMICs,58.13
Canada,2008,Other LICs,2.20
Canada,2008,Part I unallocated by income,181.58
Canada,2008,UMICs,9.31
Canada,2009,LDCs,196.42
Canada,2009,LMICs,69.06
Canada,2009,Other LICs,4.98
Canada,2009,Part I unallocated by income,210.23
Canada,2009,UMICs,19.16
Canada,2010,LDCs,180.93
Canada,2010,LMICs,39.86
Canada,2010,Other LICs,4.70
Canada,2010,Part I unallocated by income,211.58
Canada,2010,UMICs,11.80
Canada,2011,LDCs,282.58
Canada,2011,LMICs,53.97
Canada,2011,Other LICs,11.67
Canada,2011,Part I unallocated by income,268.03
Canada,2011,UMICs,6.71
Czech Republic,2011,LDCs,1.03
Czech Republic,2011,LMICs,0.95
Czech Republic,2011,Other LICs,0.04
Czech Republic,2011,Part I unallocated by income,0.02
Czech Republic,2011,UMICs,0.90
Denmark,2001,LDCs,18.17
Denmark,2001,LMICs,15.18
Denmark,2001,Other LICs,4.16
Denmark,2001,Part I unallocated by income,8.97
Denmark,2001,UMICs,7.59
Denmark,2002,LDCs,0.00
Denmark,2002,LMICs,0.00
Denmark,2002,Other LICs,0.00
Denmark,2002,Part I unallocated by income,0.00
Denmark,2002,UMICs,0.00
Denmark,2003,LDCs,41.48
Denmark,2003,LMICs,10.18
Denmark,2003,Other LICs,9.41
Denmark,2003,Part I unallocated by income,6.88
Denmark,2003,UMICs,1.31
Denmark,2004,LDCs,56.21
Denmark,2004,LMICs,6.19
Denmark,2004,Other LICs,8.84
Denmark,2004,Part I unallocated by income,5.96
Denmark,2004,UMICs,0.68
Denmark,2005,LDCs,61.86
Denmark,2005,LMICs,5.26
Denmark,2005,Other LICs,12.60
Denmark,2005,Part I unallocated by income,3.75
Denmark,2005,UMICs,7.66
Denmark,2006,LDCs,61.53
Denmark,2006,LMICs,3.25
Denmark,2006,Other LICs,5.80
Denmark,2006,Part I unallocated by income,3.29
Denmark,2006,UMICs,5.46
Denmark,2007,LDCs,60.99
Denmark,2007,LMICs,4.50
Denmark,2007,Other LICs,11.06
Denmark,2007,Part I unallocated by income,2.75
Denmark,2007,UMICs,3.97
Denmark,2008,LDCs,50.92
Denmark,2008,LMICs,19.58
Denmark,2008,Other LICs,10.74
Denmark,2008,Part I unallocated by income,3.43
Denmark,2008,UMICs,0.77
Denmark,2009,LDCs,74.61
Denmark,2009,LMICs,22.80
Denmark,2009,Other LICs,16.57
Denmark,2009,Part I unallocated by income,12.02
Denmark,2009,UMICs,2.79
Denmark,2010,LDCs,83.78
Denmark,2010,LMICs,33.82
Denmark,2010,Other LICs,16.19
Denmark,2010,Part I unallocated by income,33.32
Denmark,2010,UMICs,2.50
Denmark,2011,LDCs,72.93
Denmark,2011,LMICs,19.56
Denmark,2011,Other LICs,19.85
Denmark,2011,Part I unallocated by income,27.15
Denmark,2011,UMICs,0.12
EU Institutions,2001,LDCs,64.22
EU Institutions,2001,LMICs,36.46
EU Institutions,2001,Other LICs,5.29
EU Institutions,2001,Part I unallocated by income,4.69
EU Institutions,2001,UMICs,10.14
EU Institutions,2002,LDCs,77.17
EU Institutions,2002,LMICs,10.27
EU Institutions,2002,Other LICs,7.94
EU Institutions,2002,Part I unallocated by income,14.27
EU Institutions,2002,UMICs,7.08
EU Institutions,2003,LDCs,70.33
EU Institutions,2003,LMICs,11.15
EU Institutions,2003,Other LICs,15.19
EU Institutions,2003,Part I unallocated by income,23.29
EU Institutions,2003,UMICs,4.60
EU Institutions,2004,LDCs,107.52
EU Institutions,2004,LMICs,89.21
EU Institutions,2004,Other LICs,22.02
EU Institutions,2004,Part I unallocated by income,6.84
EU Institutions,2004,UMICs,5.63
EU Institutions,2005,LDCs,125.15
EU Institutions,2005,LMICs,188.68
EU Institutions,2005,Other LICs,26.71
EU Institutions,2005,Part I unallocated by income,79.15
EU Institutions,2005,UMICs,64.18
EU Institutions,2006,LDCs,212.21
EU Institutions,2006,LMICs,222.82
EU Institutions,2006,Other LICs,32.87
EU Institutions,2006,Part I unallocated by income,100.03
EU Institutions,2006,UMICs,109.10
EU Institutions,2007,LDCs,211.05
EU Institutions,2007,LMICs,152.98
EU Institutions,2007,Other LICs,22.36
EU Institutions,2007,Part I unallocated by income,187.14
EU Institutions,2007,UMICs,87.88
EU Institutions,2008,LDCs,209.45
EU Institutions,2008,LMICs,172.18
EU Institutions,2008,Other LICs,15.19
EU Institutions,2008,Part I unallocated by income,176.51
EU Institutions,2008,UMICs,102.09
EU Institutions,2009,LDCs,168.12
EU Institutions,2009,LMICs,169.01
EU Institutions,2009,Other LICs,21.14
EU Institutions,2009,Part I unallocated by income,98.71
EU Institutions,2009,UMICs,90.75
EU Institutions,2010,LDCs,172.43
EU Institutions,2010,LMICs,177.65
EU Institutions,2010,Other LICs,22.41
EU Institutions,2010,Part I unallocated by income,71.31
EU Institutions,2010,UMICs,28.22
EU Institutions,2011,LDCs,204.25
EU Institutions,2011,LMICs,188.35
EU Institutions,2011,Other LICs,21.17
EU Institutions,2011,Part I unallocated by income,88.62
EU Institutions,2011,UMICs,116.75
Finland,2001,LDCs,9.04
Finland,2001,LMICs,3.99
Finland,2001,Other LICs,1.08
Finland,2001,Part I unallocated by income,5.64
Finland,2001,UMICs,7.26
Finland,2002,LDCs,8.34
Finland,2002,LMICs,4.09
Finland,2002,Other LICs,1.13
Finland,2002,Part I unallocated by income,5.75
Finland,2002,UMICs,5.51
Finland,2003,LDCs,9.52
Finland,2003,LMICs,6.77
Finland,2003,Other LICs,1.41
Finland,2003,Part I unallocated by income,4.11
Finland,2003,UMICs,6.56
Finland,2004,LDCs,0.00
Finland,2004,LMICs,0.00
Finland,2004,Other LICs,0.00
Finland,2004,Part I unallocated by income,0.00
Finland,2004,UMICs,0.00
Finland,2005,LDCs,0.00
Finland,2005,LMICs,0.00
Finland,2005,Other LICs,0.00
Finland,2005,Part I unallocated by income,0.00
Finland,2005,UMICs,0.00
Finland,2006,LDCs,10.38
Finland,2006,LMICs,14.05
Finland,2006,Other LICs,0.73
Finland,2006,Part I unallocated by income,11.75
Finland,2006,UMICs,5.72
Finland,2007,LDCs,13.79
Finland,2007,LMICs,9.74
Finland,2007,Other LICs,1.11
Finland,2007,Part I unallocated by income,10.63
Finland,2007,UMICs,5.42
Finland,2008,LDCs,14.33
Finland,2008,LMICs,8.62
Finland,2008,Other LICs,1.00
Finland,2008,Part I unallocated by income,15.51
Finland,2008,UMICs,3.90
Finland,2009,LDCs,15.20
Finland,2009,LMICs,6.44
Finland,2009,Other LICs,1.12
Finland,2009,Part I unallocated by income,8.15
Finland,2009,UMICs,3.48
Finland,2010,LDCs,13.10
Finland,2010,LMICs,8.26
Finland,2010,Other LICs,1.50
Finland,2010,Part I unallocated by income,11.31
Finland,2010,UMICs,2.79
Finland,2011,LDCs,7.58
Finland,2011,LMICs,8.60
Finland,2011,Other LICs,1.33
Finland,2011,Part I unallocated by income,10.39
Finland,2011,UMICs,2.36
France,2001,LDCs,54.14
France,2001,LMICs,31.90
France,2001,Other LICs,1.36
France,2001,Part I unallocated by income,48.61
France,2001,UMICs,56.58
France,2002,LDCs,52.88
France,2002,LMICs,24.41
France,2002,Other LICs,1.16
France,2002,Part I unallocated by income,52.82
France,2002,UMICs,56.32
France,2003,LDCs,62.02
France,2003,LMICs,31.95
France,2003,Other LICs,1.69
France,2003,Part I unallocated by income,70.84
France,2003,UMICs,53.79
France,2004,LDCs,67.66
France,2004,LMICs,33.80
France,2004,Other LICs,1.75
France,2004,Part I unallocated by income,110.48
France,2004,UMICs,45.07
France,2005,LDCs,71.76
France,2005,LMICs,30.01
France,2005,Other LICs,1.75
France,2005,Part I unallocated by income,143.93
France,2005,UMICs,43.04
France,2006,LDCs,135.11
France,2006,LMICs,83.07
France,2006,Other LICs,3.50
France,2006,Part I unallocated by income,26.30
France,2006,UMICs,62.16
France,2007,LDCs,28.41
France,2007,LMICs,20.76
France,2007,Other LICs,0.57
France,2007,Part I unallocated by income,12.70
France,2007,UMICs,29.55
France,2008,LDCs,47.82
France,2008,LMICs,17.67
France,2008,Other LICs,0.29
France,2008,Part I unallocated by income,214.61
France,2008,UMICs,32.21
France,2009,LDCs,74.66
France,2009,LMICs,27.55
France,2009,Other LICs,0.69
France,2009,Part I unallocated by income,189.26
France,2009,UMICs,29.78
France,2010,LDCs,67.98
France,2010,LMICs,45.75
France,2010,Other LICs,20.47
France,2010,Part I unallocated by income,265.45
France,2010,UMICs,17.24
France,2011,LDCs,62.15
France,2011,LMICs,44.00
France,2011,Other LICs,5.36
France,2011,Part I unallocated by income,62.39
France,2011,UMICs,24.44
GAVI,2007,LDCs,277.97
GAVI,2007,LMICs,101.63
GAVI,2007,Other LICs,19.15
GAVI,2007,Part I unallocated by income,511.87
GAVI,2007,UMICs,0.64
GAVI,2008,LDCs,353.80
GAVI,2008,LMICs,194.80
GAVI,2008,Other LICs,32.30
GAVI,2008,Part I unallocated by income,79.77
GAVI,2008,UMICs,1.96
GAVI,2009,LDCs,227.82
GAVI,2009,LMICs,89.40
GAVI,2009,Other LICs,21.58
GAVI,2009,Part I unallocated by income,78.19
GAVI,2009,UMICs,-0.26
GAVI,2010,LDCs,359.64
GAVI,2010,LMICs,174.95
GAVI,2010,Other LICs,47.22
GAVI,2010,Part I unallocated by income,114.98
GAVI,2010,UMICs,2.60
GAVI,2011,LDCs,432.39
GAVI,2011,LMICs,151.91
GAVI,2011,Other LICs,51.45
GAVI,2011,Part I unallocated by income,62.95
GAVI,2011,UMICs,1.56
Germany,2001,LDCs,87.73
Germany,2001,LMICs,79.42
Germany,2001,Other LICs,2.54
Germany,2001,Part I unallocated by income,9.91
Germany,2001,UMICs,28.54
Germany,2002,LDCs,56.67
Germany,2002,LMICs,66.00
Germany,2002,Other LICs,11.33
Germany,2002,Part I unallocated by income,3.11
Germany,2002,UMICs,11.68
Germany,2003,LDCs,85.64
Germany,2003,LMICs,95.21
Germany,2003,Other LICs,10.34
Germany,2003,Part I unallocated by income,13.60
Germany,2003,UMICs,19.13
Germany,2004,LDCs,87.54
Germany,2004,LMICs,80.60
Germany,2004,Other LICs,8.80
Germany,2004,Part I unallocated by income,14.98
Germany,2004,UMICs,68.25
Germany,2005,LDCs,76.76
Germany,2005,LMICs,108.94
Germany,2005,Other LICs,21.47
Germany,2005,Part I unallocated by income,11.78
Germany,2005,UMICs,17.89
Germany,2006,LDCs,89.45
Germany,2006,LMICs,104.07
Germany,2006,Other LICs,10.41
Germany,2006,Part I unallocated by income,28.69
Germany,2006,UMICs,40.30
Germany,2007,LDCs,91.86
Germany,2007,LMICs,151.33
Germany,2007,Other LICs,29.31
Germany,2007,Part I unallocated by income,45.18
Germany,2007,UMICs,29.81
Germany,2008,LDCs,114.31
Germany,2008,LMICs,163.54
Germany,2008,Other LICs,28.62
Germany,2008,Part I unallocated by income,50.30
Germany,2008,UMICs,22.30
Germany,2009,LDCs,150.44
Germany,2009,LMICs,109.13
Germany,2009,Other LICs,32.17
Germany,2009,Part I unallocated by income,44.60
Germany,2009,UMICs,69.94
Germany,2010,LDCs,147.86
Germany,2010,LMICs,162.47
Germany,2010,Other LICs,30.86
Germany,2010,Part I unallocated by income,91.68
Germany,2010,UMICs,42.39
Germany,2011,LDCs,136.49
Germany,2011,LMICs,79.69
Germany,2011,Other LICs,47.83
Germany,2011,Part I unallocated by income,62.73
Germany,2011,UMICs,57.23
Greece,2002,LDCs,0.53
Greece,2002,LMICs,1.13
Greece,2002,Part I unallocated by income,2.10
Greece,2002,UMICs,2.69
Greece,2003,LDCs,0.33
Greece,2003,LMICs,3.87
Greece,2003,Part I unallocated by income,9.24
Greece,2003,UMICs,3.71
Greece,2004,LDCs,1.52
Greece,2004,LMICs,2.32
Greece,2004,Other LICs,0.03
Greece,2004,Part I unallocated by income,18.83
Greece,2004,UMICs,5.65
Greece,2005,LDCs,10.37
Greece,2005,LMICs,1.94
Greece,2005,Other LICs,0.25
Greece,2005,Part I unallocated by income,12.14
Greece,2005,UMICs,10.03
Greece,2006,LDCs,1.10
Greece,2006,LMICs,2.37
Greece,2006,Other LICs,0.11
Greece,2006,Part I unallocated by income,28.41
Greece,2006,UMICs,6.07
Greece,2007,LDCs,1.22
Greece,2007,LMICs,1.69
Greece,2007,Other LICs,0.12
Greece,2007,Part I unallocated by income,31.11
Greece,2007,UMICs,1.86
Greece,2008,LDCs,1.28
Greece,2008,LMICs,0.99
Greece,2008,Other LICs,0.37
Greece,2008,Part I unallocated by income,5.08
Greece,2008,UMICs,5.31
Greece,2009,LDCs,3.97
Greece,2009,LMICs,3.19
Greece,2009,Other LICs,0.01
Greece,2009,Part I unallocated by income,11.92
Greece,2009,UMICs,1.66
Greece,2010,LMICs,2.14
Greece,2010,Part I unallocated by income,4.06
Greece,2011,LDCs,0.02
Greece,2011,LMICs,2.15
Greece,2011,Other LICs,0.01
Greece,2011,Part I unallocated by income,0.06
Greece,2011,UMICs,0.28
Iceland,2011,LDCs,1.10
Iceland,2011,LMICs,0.20
Iceland,2011,Part I unallocated by income,0.25
IDA,2001,LDCs,428.63
IDA,2001,LMICs,787.37
IDA,2001,Other LICs,13.49
IDA,2001,UMICs,93.82
IDA,2002,LDCs,357.23
IDA,2002,LMICs,893.07
IDA,2002,Other LICs,20.66
IDA,2002,UMICs,100.52
IDA,2003,LDCs,436.78
IDA,2003,LMICs,503.47
IDA,2003,Other LICs,28.68
IDA,2003,Part I unallocated by income,0.00
IDA,2003,UMICs,60.04
IDA,2004,LDCs,494.25
IDA,2004,LMICs,832.34
IDA,2004,Other LICs,27.87
IDA,2004,Part I unallocated by income,1.35
IDA,2004,UMICs,45.27
IDA,2005,LDCs,553.62
IDA,2005,LMICs,738.64
IDA,2005,Other LICs,17.21
IDA,2005,Part I unallocated by income,5.70
IDA,2005,UMICs,25.29
IDA,2006,LDCs,500.24
IDA,2006,LMICs,591.38
IDA,2006,Other LICs,8.29
IDA,2006,Part I unallocated by income,8.67
IDA,2006,UMICs,41.99
IDA,2007,LDCs,355.38
IDA,2007,LMICs,523.64
IDA,2007,Other LICs,12.05
IDA,2007,Part I unallocated by income,6.72
IDA,2007,UMICs,28.95
IDA,2008,LDCs,339.08
IDA,2008,LMICs,345.98
IDA,2008,Other LICs,28.28
IDA,2008,Part I unallocated by income,7.55
IDA,2008,UMICs,20.73
IDA,2009,LDCs,425.59
IDA,2009,LMICs,544.78
IDA,2009,Other LICs,13.61
IDA,2009,Part I unallocated by income,8.02
IDA,2009,UMICs,14.78
IDA,2010,LDCs,417.96
IDA,2010,LMICs,437.55
IDA,2010,Other LICs,57.59
IDA,2010,Part I unallocated by income,9.04
IDA,2010,UMICs,11.35
IDA,2011,LDCs,369.82
IDA,2011,LMICs,541.61
IDA,2011,Other LICs,64.79
IDA,2011,Part I unallocated by income,20.87
IDA,2011,UMICs,16.82
IDB Sp.Fund,2001,LMICs,0.00
IDB Sp.Fund,2003,LMICs,0.00
IDB Sp.Fund,2005,LMICs,0.00
IDB Sp.Fund,2007,LMICs,0.00
IDB Sp.Fund,2009,LDCs,5.69
IDB Sp.Fund,2009,LMICs,13.82
IDB Sp.Fund,2009,Part I unallocated by income,2.50
IDB Sp.Fund,2009,UMICs,0.41
IDB Sp.Fund,2010,LDCs,2.63
IDB Sp.Fund,2010,LMICs,14.24
IDB Sp.Fund,2010,Part I unallocated by income,2.32
IDB Sp.Fund,2010,UMICs,0.66
IDB Sp.Fund,2011,LDCs,14.97
IDB Sp.Fund,2011,LMICs,52.37
IDB Sp.Fund,2011,Part I unallocated by income,2.76
IDB Sp.Fund,2011,UMICs,0.73
IFAD,2003,LDCs,0.00
IFAD,2003,Other LICs,0.00
IFAD,2005,LDCs,0.00
IFAD,2005,UMICs,0.00
IFAD,2008,LDCs,0.00
IFAD,2008,Other LICs,0.00
IFAD,2011,LDCs,0.00
IFAD,2011,Other LICs,0.00
Ireland,2001,LDCs,3.59
Ireland,2001,LMICs,0.01
Ireland,2001,Other LICs,0.00
Ireland,2001,Part I unallocated by income,0.00
Ireland,2001,UMICs,0.26
Ireland,2002,LDCs,53.22
Ireland,2002,LMICs,3.44
Ireland,2002,Other LICs,1.34
Ireland,2002,Part I unallocated by income,30.74
Ireland,2002,UMICs,4.90
Ireland,2003,LDCs,61.71
Ireland,2003,LMICs,2.61
Ireland,2003,Other LICs,2.20
Ireland,2003,Part I unallocated by income,31.85
Ireland,2003,UMICs,7.82
Ireland,2004,LDCs,67.53
Ireland,2004,LMICs,2.80
Ireland,2004,Other LICs,2.00
Ireland,2004,Part I unallocated by income,23.94
Ireland,2004,UMICs,7.76
Ireland,2005,LDCs,67.54
Ireland,2005,LMICs,3.22
Ireland,2005,Other LICs,1.93
Ireland,2005,Part I unallocated by income,27.01
Ireland,2005,UMICs,7.79
Ireland,2006,LDCs,74.48
Ireland,2006,LMICs,5.80
Ireland,2006,Other LICs,2.37
Ireland,2006,Part I unallocated by income,65.42
Ireland,2006,UMICs,3.93
Ireland,2007,LDCs,84.08
Ireland,2007,LMICs,5.45
Ireland,2007,Other LICs,4.65
Ireland,2007,Part I unallocated by income,57.22
Ireland,2007,UMICs,7.66
Ireland,2008,LDCs,88.13
Ireland,2008,LMICs,4.95
